ISO3,Year,predicted_probability
IDN,2016,0.020456318648619107
IDN,2017,0.021923179691165768
IDN,2018,0.021354777790591677
IND,1996,0.02137311198237489
IND,1998,0.022335995329475545
IND,2000,0.022112175702246033
IND,2002,0.022883252914933646
IND,2003,0.021919839872465156
IND,2004,0.02539671499489075
IND,2005,0.025448196299677622
IND,2006,0.026623791568297986
IND,2007,0.024288513062156823
IND,2008,0.024021637575778357
IND,2009,0.0256053265948082
IND,2010,0.027279016988324318
IND,2011,0.021824584934042154
IND,2012,0.02127332683490409
IND,2013,0.023036275769680054
IND,2014,0.022399890847660083
IND,2015,0.02100050678588078
IND,2016,0.024659226556099548
IND,2017,0.021891993096094766
IND,2018,0.022176851408781548
IRL,1996,0.02025262073477774
IRL,1998,0.023274799287925963
IRL,2000,0.022962446298970197
IRL,2002,0.020561090013470115
IRL,2003,0.020561090013470115
IRL,2004,0.02117699751885595
IRL,2005,0.020677814875971645
IRL,2006,0.02025262073477774
IRL,2007,0.020479206252888817
IRL,2008,0.02025262073477774
IRL,2009,0.021057839578021393
IRL,2010,0.02137083172459332
IRL,2011,0.02104264910566969
IRL,2012,0.02025262073477774
IRL,2013,0.021459528232954078
IRL,2014,0.023567372103457763
IRL,2015,0.03479173980351256
IRL,2016,0.020656871248974095
IRL,2017,0.02254855453254036
IRL,2018,0.021211550640395427
IRN,1996,0.518071907427477
IRN,1998,0.050454649201693125
IRN,2000,0.1497855489699422
IRN,2002,0.13156415766108284
IRN,2003,0.3049345408198255
IRN,2004,0.042023755867703926
IRN,2005,0.030313922667552774
IRN,2006,0.032247543401128544
IRN,2007,0.031003126166703057
IRN,2008,0.02423953967000511
IRN,2009,0.02535170401668908
IRN,2010,0.030116616944697545
IRN,2011,0.05258121354476112
IRN,2012,0.04036256249528196
IRN,2013,0.03803540435844934
IRN,2014,0.06715398870037853
IRN,2015,0.02616201103691775
IRN,2016,0.03770169265502348
IRN,2017,0.03376196827418924
IRN,2018,0.14428680146211637
IRQ,1996,0.02810496274253775
IRQ,1998,0.037648410921421384
IRQ,2000,0.049239205661462344
IRQ,2002,0.29164430869060814
IRQ,2010,0.04369477943837946
IRQ,2011,0.04419725832834831
IRQ,2012,0.030995830747379754
IRQ,2013,0.46073720354164877
IRQ,2014,0.09356630871040594
IRQ,2015,0.065824596142651
IRQ,2016,0.1324609919505598
IRQ,2017,0.057022278190594716
IRQ,2018,0.03791777038005217
ISR,1996,0.02406500044465129
ISR,1998,0.024723402352172352
ISR,2000,0.021356321781349774
ISR,2002,0.022344165950216766
ISR,2003,0.020632234642846747
ISR,2004,0.02035889313585916
ISR,2005,0.021022694696569286
ISR,2006,0.020328106651525957
ISR,2007,0.020328106651525957
ISR,2008,0.02176685857618653
ISR,2009,0.02373448738157877
ISR,2010,0.02170697483227132
ISR,2011,0.021237286346354273
ISR,2012,0.02046804452539789
ISR,2013,0.02030282566761635
ISR,2014,0.027905208495349516
ISR,2015,0.02040467023006157
ISR,2016,0.020818333937968916
ISR,2017,0.020809943530767032
ISR,2018,0.021571289980103492
ITA,1996,0.021700071248767706
ITA,1998,0.0205597910279332
ITA,2000,0.0205597910279332
ITA,2002,0.020565865949123137
ITA,2003,0.02025262073477774
ITA,2004,0.020303997295744086
ITA,2005,0.020291122324070997
ITA,2006,0.02025262073477774
ITA,2007,0.020476997356685882
ITA,2008,0.02025262073477774
ITA,2009,0.02025262073477774
ITA,2010,0.02025262073477774
ITA,2011,0.0203739145322416
ITA,2012,0.020875575084659887
ITA,2013,0.02025262073477774
ITA,2014,0.02025262073477774
ITA,2015,0.020957329040006786
ITA,2016,0.02063560861833538
ITA,2017,0.02039470083129762
ITA,2018,0.02047018674804584
JAM,1996,0.022333172515234433
JAM,1998,0.020678666916050338
